month_date,relevant_articles,direct_inflation_articles,indirect_driver_articles,upward_articles,downward_articles,neutral_articles,uncertain_articles,sum_upward_score,sum_downward_score,sum_net_price_pressure,weighted_price_pressure,mean_net_price_pressure,mean_uncertainty,upward_share,downward_share,neutral_share,uncertainty_share,direct_inflation_share,net_direction_balance,theme_exchange_rate,theme_fiscal_tax_policy,theme_food_agriculture,theme_fuel_energy,theme_housing_utilities,theme_imports_supply_chain,theme_monetary_financial,theme_transport_logistics,theme_wages_labour,month,year,month_number,coverage_gbn,coverage_myjoy,coverage_gbc,active_source_count,relevant_articles_per_active_source,weighted_pressure_per_active_source,cpi_all_items,headline_inflation_yoy,core_inflation,headline_inflation,inflation_change,lag1_inflation,lag2_inflation,lag3_inflation,lag6_inflation,lag12_inflation,lag1_inflation_change,lag2_inflation_change
2010-01-01,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,-2.0,-2.0,-1.0,1.0,0.0,0.5,0.5,1.0,0.5,-0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010-01,2010,1,1,0,0,1,2.0,-2.0,30.02508,14.8,,14.8,,,,,,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-02,2010,2,1,0,0,1,0.0,0.0,30.47826,14.2,,14.2,-0.6000000000000014,14.8,,,,,,
2010-03-01,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,-2.0,-2.0,-1.0,1.0,0.0,0.5,0.5,0.5,0.0,-0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010-03,2010,3,1,0,0,1,2.0,-2.0,30.82513,13.3,,13.3,-0.8999999999999986,14.2,14.8,,,,-0.6000000000000014,
2010-04-01,5.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,0.0,0.2,2.2,0.4,0.2,0.4,0.6,0.8,0.2,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2010-04,2010,4,1,0,0,1,5.0,0.0,31.25998,11.7,,11.7,-1.6000000000000014,13.3,14.2,14.8,,,-0.8999999999999986,-0.6000000000000014
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-05,2010,5,1,0,0,1,0.0,0.0,31.84412,10.7,,10.7,-1.0,11.7,13.3,14.2,,,-1.6000000000000014,-0.8999999999999986
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-06,2010,6,1,0,0,1,0.0,0.0,32.34265,9.5,,9.5,-1.1999999999999993,10.7,11.7,13.3,,,-1.0,-1.6000000000000014
2010-07-01,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010-07,2010,7,1,0,0,1,1.0,0.0,32.60833,9.5,,9.5,0.0,9.5,10.7,11.7,14.8,,-1.1999999999999993,-1.0
2010-08-01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-08,2010,8,1,0,0,1,1.0,0.0,32.37601,9.4,,9.4,-0.09999999999999964,9.5,9.5,10.7,14.2,,0.0,-1.1999999999999993
2010-09-01,3.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,4.0,4.0,1.3333333333333333,2.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2010-09,2010,9,1,0,0,1,3.0,4.0,31.88647,9.4,,9.4,0.0,9.4,9.5,9.5,13.3,,-0.09999999999999964,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10,2010,10,1,0,0,1,0.0,0.0,31.58338,9.4,,9.4,0.0,9.4,9.4,9.5,11.7,,0.0,-0.09999999999999964
2010-11-01,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2010-11,2010,11,1,0,0,1,1.0,2.0,31.73177,9.1,,9.1,-0.3000000000000007,9.4,9.4,9.4,10.7,,0.0,0.0
