target_month,month,state,state_number,nowcast_cutoff,row_role,evaluation_partition,actual_target_headline_inflation_yoy,actual_target_is_evaluation_only,actual_target_cpi_yoy,leakage_rule,headline_anchor_rule,news_available,news_status,fx_available,fx_obs_mtd,fx_latest_date,fx_mtd_avg,fx_first,fx_latest,fx_mtd_min,fx_mtd_max,fx_mtd_std,fx_within_month_pct,fx_vs_prev_month_avg_pct,npa_available,npa_days_available,npa_latest_date,npa_petrol_mtd_avg,npa_petrol_first,npa_petrol_latest,npa_petrol_min,npa_petrol_max,npa_petrol_within_month_pct,npa_diesel_mtd_avg,npa_diesel_first,npa_diesel_latest,npa_diesel_min,npa_diesel_max,npa_diesel_within_month_pct,cpi_available,cpi_latest_yoy,cpi_observation_month,cpi_release_date,cpi_timing_status,ppi_available,ppi_latest_yoy,ppi_observation_month,ppi_release_date,ppi_timing_status,headline_anchor_available,headline_anchor_yoy,headline_anchor_observation_month,headline_anchor_release_date,headline_anchor_available_date,headline_anchor_timing_method,headline_anchor_verified_release,headline_anchor_reference_age_months,headline_anchor_information_age_days,cpi_safe_latest,cpi_safe_latest_month
2022-01,2022-01,S1_Day7,1,2022-01-07 23:59:59,extended_historical_test,extended_historical_test,13.9,True,13.9,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,3,2022-01-06,6.0061333333333335,6.0061,6.0064,6.0059,6.0064,0.00020548046676587407,0.004994921829482024,0.9962069810158569,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,11.0,2021-10,,2021-12-15,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,23,11.0,2021-10
2022-01,2022-01,S2_Day14,2,2022-01-14 23:59:59,extended_historical_test,extended_historical_test,13.9,True,13.9,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,8,2022-01-14,6.006237499999999,6.0061,6.0063,6.0059,6.0064,0.0001653594569417474,0.0033299478863213494,0.9979585968464155,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.3,2021-11,,2022-01-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,0,12.3,2021-11
2022-01,2022-01,S3_Day21,3,2022-01-21 23:59:59,extended_historical_test,extended_historical_test,13.9,True,13.9,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,13,2022-01-21,6.007276923076922,6.0061,6.0099,6.0059,6.0101,0.0016096601868593747,0.06326900983999462,1.0154370280419212,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.3,2021-11,,2022-01-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,7,12.3,2021-11
2022-01,2022-01,S4_MonthEnd,4,2022-01-31 23:59:59,extended_historical_test,extended_historical_test,13.9,True,13.9,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,19,2022-01-31,6.010400000000001,6.0061,6.0236,6.0059,6.0236,0.005789736836124612,0.29137044005260737,1.0679531654360641,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.3,2021-11,,2022-01-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,17,12.3,2021-11
2022-02,2022-02,S1_Day7,1,2022-02-07 23:59:59,extended_historical_test,extended_historical_test,15.7,True,15.7,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,5,2022-02-07,6.1161200000000004,6.1027,6.1598,6.1027,6.1598,0.02195417044663718,0.9356514329722954,1.7589511513376843,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.3,2021-11,,2022-01-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,24,12.3,2021-11
2022-02,2022-02,S2_Day14,2,2022-02-14 23:59:59,extended_historical_test,extended_historical_test,15.7,True,15.7,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,10,2022-02-14,6.17966,6.1027,6.3021,6.1027,6.3021,0.07375342975075805,3.267406230029346,2.81611872753893,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.6,2021-12,,2022-02-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,0,12.6,2021-12
2022-02,2022-02,S3_Day21,3,2022-02-21 23:59:59,extended_historical_test,extended_historical_test,15.7,True,15.7,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,15,2022-02-21,6.238606666666668,6.1027,6.4227,6.1027,6.4227,0.1074994416522967,5.243580710177476,3.796863214872026,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.6,2021-12,,2022-02-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,7,12.6,2021-12
2022-02,2022-02,S4_MonthEnd,4,2022-02-28 23:59:59,extended_historical_test,extended_historical_test,15.7,True,15.7,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,20,2022-02-28,6.307649999999999,6.1027,6.6004,6.1027,6.6004,0.15603130935808998,8.155406623297878,4.945594303207734,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.6,2021-12,,2022-02-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,14,12.6,2021-12
2022-03,2022-03,S1_Day7,1,2022-03-07 23:59:59,extended_historical_test,extended_historical_test,19.4,True,19.4,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,4,2022-03-04,6.924999999999999,6.7006,7.0019,6.7006,7.0019,0.1295727016002986,4.496612243679676,9.787321744231203,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.6,2021-12,,2022-02-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,21,12.6,2021-12
2022-03,2022-03,S2_Day14,2,2022-03-14 23:59:59,extended_historical_test,extended_historical_test,19.4,True,19.4,information timestamp <= nowcast cutoff,verified GSS release date where available; otherwise conservative observation month-end +45 days; target month itself always excluded,False,ADDED_IN_SCRIPT_10,True,9,2022-03-14,6.977233333333334,6.7006,7.03,6.7006,7.03,0.09838612142415674,4.915977673641181,10.61541672942119,False,0,,,,,,,,,,,,,,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,False,,,,TIMING_UNRESOLVED_OR_NOT_RELEASED,True,12.6,2021-12,,2022-02-14,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,28,12.6,2021-12
