target_month,month,state,state_number,nowcast_cutoff,row_role,evaluation_partition,actual_target_headline_inflation_yoy,actual_target_cpi_yoy,actual_target_is_evaluation_only,headline_anchor_available,headline_anchor_yoy,headline_anchor_observation_month,headline_anchor_available_date,headline_anchor_release_date,headline_anchor_timing_method,headline_anchor_verified_release,headline_anchor_reference_age_months,headline_anchor_information_age_days,cpi_safe_latest,cpi_safe_latest_month,fx_mtd_avg,fx_within_month_pct,fx_vs_prev_month_avg_pct,npa_available,npa_petrol_mtd_avg,npa_petrol_latest,npa_petrol_within_month_pct,npa_diesel_mtd_avg,npa_diesel_latest,npa_diesel_within_month_pct,news_article_count,news_latest_publication,news_direction_score_mean,news_total_pressure_mean,news_inflation_share,news_upward_share,news_downward_share,news_uncertainty_share,admin_price_up_count,admin_price_down_count,admin_price_count,admin_price_balance,admin_price_shock_strength,news_food_share,news_food_pressure,news_fx_share,news_fx_pressure,news_fuel_share,news_fuel_pressure,news_monetary_policy_share,news_monetary_policy_pressure,news_fiscal_share,news_fiscal_pressure,news_transport_share,news_transport_pressure,news_utilities_share,news_utilities_pressure,news_inflationary_channel_breadth,news_disinflationary_channel_breadth,news_channel_breadth_balance,leakage_rule,headline_anchor_rule,news_available,news_status,fx_available,fx_obs_mtd,fx_latest_date,fx_first,fx_latest,fx_mtd_min,fx_mtd_max,fx_mtd_std,npa_days_available,npa_latest_date,npa_petrol_first,npa_petrol_min,npa_petrol_max,npa_diesel_first,npa_diesel_min,npa_diesel_max,cpi_available,cpi_latest_yoy,cpi_observation_month,cpi_release_date,cpi_timing_status,ppi_available,ppi_latest_yoy,ppi_observation_month,ppi_release_date,ppi_timing_status,_target_period,news_direction_score_mean_prev_month,news_total_pressure_mean_prev_month,news_food_pressure_prev_month,news_fx_pressure_prev_month,news_fuel_pressure_prev_month,news_monetary_policy_pressure_prev_month,news_fiscal_pressure_prev_month,news_transport_pressure_prev_month,news_utilities_pressure_prev_month,news_channel_breadth_balance_prev_month,admin_price_balance_prev_month,admin_price_shock_strength_prev_month,news_direction_score_mean_delta_prev_month,news_total_pressure_mean_delta_prev_month,news_food_pressure_delta_prev_month,news_fx_pressure_delta_prev_month,news_fuel_pressure_delta_prev_month,news_monetary_policy_pressure_delta_prev_month,news_fiscal_pressure_delta_prev_month,news_transport_pressure_delta_prev_month,news_utilities_pressure_delta_prev_month,news_channel_breadth_balance_delta_prev_month,admin_price_balance_delta_prev_month,admin_price_shock_strength_delta_prev_month,news_direction_score_mean_prior_state,news_direction_score_mean_delta_prior_state,news_total_pressure_mean_prior_state,news_total_pressure_mean_delta_prior_state,news_food_pressure_prior_state,news_food_pressure_delta_prior_state,news_fx_pressure_prior_state,news_fx_pressure_delta_prior_state,news_fuel_pressure_prior_state,news_fuel_pressure_delta_prior_state,news_monetary_policy_pressure_prior_state,news_monetary_policy_pressure_delta_prior_state,news_fiscal_pressure_prior_state,news_fiscal_pressure_delta_prior_state,news_transport_pressure_prior_state,news_transport_pressure_delta_prior_state,news_utilities_pressure_prior_state,news_utilities_pressure_delta_prior_state,news_channel_breadth_balance_prior_state,news_channel_breadth_balance_delta_prior_state,admin_price_balance_prior_state,admin_price_balance_delta_prior_state,admin_price_shock_strength_prior_state,admin_price_shock_strength_delta_prior_state,news_pressure_acceleration,news_pressure_sign_reversal,inflation_pressure_direction_score,news_food_reversal_flag,news_fx_reversal_flag,news_fuel_reversal_flag,news_transport_reversal_flag,news_utilities_reversal_flag,news_fiscal_reversal_flag,news_monetary_policy_reversal_flag,news_channel_reversal_share,turning_point_strength,turning_point_threshold,turning_point_any_flag,turning_point_inflationary_flag,turning_point_disinflationary_flag,turning_point_score,anchor_staleness_turning_interaction
2019-01,2019-01,S1_Day7,1,2019-01-07 23:59:59,training,training,5.9,5.9,True,True,7.0,2018-10,2018-12-15 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,23,7.0,2018-10,4.830166666666667,0.13881119605527736,0.32146994613708735,False,,,,,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6097973503053566,0,0,0,0.0,0.0
2019-01,2019-01,S2_Day14,2,2019-01-14 23:59:59,training,training,5.9,5.9,True,True,6.3,2018-11,2019-01-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,0,6.3,2018-11,4.84495,1.0027555058321314,0.6285164381222508,False,,,,,,,1,2019-01-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6097973503053566,0,0,0,0.0,0.0
2019-01,2019-01,S3_Day21,3,2019-01-21 23:59:59,training,training,5.9,5.9,True,True,6.3,2018-11,2019-01-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,7,6.3,2018-11,4.867346153846153,1.7299604284500836,1.0936794914991443,False,,,,,,,2,2019-01-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6097973503053566,0,0,0,0.0,0.0
2019-01,2019-01,S4_MonthEnd,4,2019-01-31 23:59:59,training,training,5.9,5.9,True,True,6.3,2018-11,2019-01-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,17,6.3,2018-11,4.894738095238095,2.5669712225744323,1.6626039230476897,False,,,,,,,2,2019-01-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6097973503053566,0,0,0,0.0,0.0
2019-02,2019-02,S1_Day7,1,2019-02-07 23:59:59,training,training,6.1,6.1,True,True,6.3,2018-11,2019-01-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,24,6.3,2018-11,4.959100000000001,0.35536889714493647,1.3149202982795316,False,,,,,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6097973503053566,0,0,0,0.0,0.0
2019-02,2019-02,S2_Day14,2,2019-02-14 23:59:59,training,training,6.1,6.1,True,True,5.8,2018-12,2019-02-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,0,5.8,2018-12,4.97997,0.9873601744538218,1.7412965332062047,False,,,,,,,2,2019-02-14,0.7701486030160769,4.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7701486030160769,4.5,0.0,1.5,0.0,3.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.7701486030160769,0.0,4.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,4.5,1,0.45186719730239217,0,1,0,0,0,0,1,0.2857142857142857,0.7318702002265497,0.6097973503053566,1,1,0,0.7318702002265497,1.4637404004530994
2019-02,2019-02,S3_Day21,3,2019-02-21 23:59:59,training,training,6.1,6.1,True,True,5.8,2018-12,2019-02-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,7,5.8,2018-12,4.989213333333334,1.2942696765335437,1.9301387787663327,False,,,,,,,4,2019-02-19,0.5006035908230408,2.75,0.25,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,0.25,0.5,0.25,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5006035908230408,2.75,0.0,1.25,0.5,1.5,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.7701486030160769,-0.26954501219303606,4.5,-1.75,0.0,0.0,1.5,-0.25,0.0,0.5,3.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,-6.25,1,0.4370497408995443,0,1,1,0,0,0,1,0.42857142857142855,0.7216470387649107,0.6097973503053566,1,1,0,0.7216470387649107,1.4432940775298213
2019-02,2019-02,S4_MonthEnd,4,2019-02-28 23:59:59,training,training,6.1,6.1,True,True,5.8,2018-12,2019-02-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,2,14,5.8,2018-12,5.016205000000001,4.494608892299001,2.481581289917778,False,,,,,,,6,2019-02-27,0.33373572721536054,1.8333333333333333,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33373572721536054,1.8333333333333333,0.0,0.8333333333333334,0.3333333333333333,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.5006035908230408,-0.1668678636076803,2.75,-0.9166666666666667,0.0,0.0,1.25,-0.41666666666666663,0.5,-0.16666666666666669,1.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,1,0.3505712380352015,0,1,1,0,0,0,1,0.42857142857142855,0.5769143395998815,0.6097973503053566,0,0,0,0.5769143395998815,1.153828679199763
2019-03,2019-03,S1_Day7,1,2019-03-07 23:59:59,training,training,6.5,6.5,True,True,5.8,2018-12,2019-02-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,21,5.8,2018-12,5.2027,0.192300296142478,3.717850446702209,False,,,,,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03,0.33373572721536054,1.8333333333333333,0.0,0.8333333333333334,0.3333333333333333,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,-0.33373572721536054,-1.8333333333333333,0.0,-0.8333333333333334,-0.3333333333333333,-1.0,0.0,0.0,0.0,-0.42857142857142855,0.0,0.0,0.33373572721536054,-0.33373572721536054,1.8333333333333333,-1.8333333333333333,0.0,0.0,0.8333333333333334,-0.8333333333333334,0.3333333333333333,-0.3333333333333333,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.42857142857142855,0.0,0.0,0.0,0.0,-1.8333333333333333,1,0.0,0,1,1,0,0,0,1,0.42857142857142855,0.6264440573207786,0.6097973503053566,1,0,0,0.6264440573207786,1.8793321719623357
2019-03,2019-03,S2_Day14,2,2019-03-14 23:59:59,training,training,6.5,6.5,True,True,5.8,2018-12,2019-02-14 00:00:00,,CONSERVATIVE_MONTH_END_PLUS_45D_PROXY,False,3,28,5.8,2018-12,5.22068888888889,0.7653551786469759,4.076465951628538,False,,,,,,,2,2019-03-14,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03,0.33373572721536054,1.8333333333333333,0.0,0.8333333333333334,0.3333333333333333,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,-0.33373572721536054,-1.8333333333333333,0.0,-0.8333333333333334,-0.3333333333333333,-1.0,0.0,0.0,0.0,-0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1,0.0,0,1,1,0,0,0,1,0.42857142857142855,0.6264440573207786,0.6097973503053566,1,0,0,0.6264440573207786,1.8793321719623357
